AWP-Sentence,Type-of-Sentence
Jessica donated 31 erasers to Sara,transferState
Sara brought 11 books,beforeState
John shared 50 coins with Joan,transferState
"Currently, Bob has 17 pencils",afterState
Fred received 48 dollars from a friend,beforeState
Joan brought 27 stamps,beforeState
Alice had 12 marbles,beforeState
Can you tell how many carrots Alice has now?,questionState
Joan received 6 erasers from a friend,beforeState
How many coins does Bob have?,questionState
Can you tell how many coins Bob has now?,questionState
What is the total number of candies Sam has now?,questionState
Jessica has 15 onions,beforeState
Jessica brought 47 books,beforeState
"After giving to Sally, now Sophia has 22 balloons",afterState
Keith shared 5 chocolates with Sara,transferState
What is the total number of dollars Joan has now?,questionState
Sara has 47 marbles,beforeState
"After the exchange, how many candies does Sophia have?",questionState
"After taking from Bob, now Keith has 34 bottles",afterState
How many roses does Sally have now?,questionState
"After taking from Sally, now David has 20 cookies",afterState
Alice found 18 onions,beforeState
Alice brought 2 pencils,beforeState
Can you tell how many bottles Melanie has now?,questionState
Stephen found 29 erasers,beforeState
Bob sent 29 dollars to Sara,transferState
How many books does Daniel have?,questionState
How many carrots does Jessica have now?,questionState
Stephen shared 27 dollars with Alice,transferState
"After giving to Sara, now Stephen has 26 bottles",afterState
Joan handed 7 tickets to Mike,transferState
Liam bought 21 books,beforeState
Now Bob has 10 coins,afterState
Emma brought 39 chocolates,beforeState
"After the exchange, how many balls does Keith have?",questionState
"Currently, Mike has 48 pencils",afterState
Sara brought 32 coins,beforeState
What is the total number of balls Emma has now?,questionState
What is the total number of cookies Sam has now?,questionState
What is the total number of carrots Jessica has now?,questionState
Sophia has 43 bottles,beforeState
"At present, David owns 26 pencils",afterState
Can you tell how many candies Stephen has now?,questionState
Sally donated 43 candies to Melanie,transferState
David brought 22 pens,beforeState
Keith shared 35 bottles with Tom,transferState
"At present, Alice owns 39 coins",afterState
Sally had 2 tickets,beforeState
Liam brought 34 stamps,beforeState
"After the exchange, how many bottles does Stephen have?",questionState
How many chocolates does John have?,questionState
"At present, Sam owns 10 bottles",afterState
Can you tell how many pencils Jason has now?,questionState
How many apples does David have now?,questionState
"At present, Jessica owns 12 onions",afterState
Can you tell how many chocolates Liam has now?,questionState
Jessica handed 30 erasers to David,transferState
David received 19 cookies from a friend,beforeState
Sam took 34 apples from Melanie,transferState
Sally donated 6 books to Bob,transferState
Can you tell how many books Liam has now?,questionState
"After taking from Daniel, now Jason has 9 pencils",afterState
How many roses does Bob have now?,questionState
How many dollars does Sally have?,questionState
Bob donated 25 coins to Sally,transferState
Tom sent 10 marbles to Sophia,transferState
"After the exchange, how many dollars does Sally have?",questionState
Sally bought 18 apples,beforeState
Keith handed 8 roses to Joan,transferState
How many tickets does Jessica have now?,questionState
"Currently, Sally has 26 erasers",afterState
"After giving to Alice, now Sally has 2 books",afterState
Sara donated 45 coins to Mike,transferState
How many coins does Tom have now?,questionState
Now Daniel has 41 balloons,afterState
How many cookies does Liam have?,questionState
Emma had 31 coins,beforeState
"After giving to Tom, now Mike has 8 bottles",afterState
Sophia had 19 cookies,beforeState
Bob received 13 marbles from a friend,beforeState
"After the exchange, how many candies does Sally have?",questionState
Now Fred has 14 tickets,afterState
Tom handed 20 books to David,transferState
Sam donated 27 dollars to Bob,transferState
"After taking from Tom, now Alice has 38 pencils",afterState
Sophia took 31 bottles from Liam,transferState
Alice received 24 pencils from a friend,beforeState
Melanie donated 47 roses to Sara,transferState
Fred found 4 pencils,beforeState
David bought 38 stamps,beforeState
Bob bought 5 stamps,beforeState
Sam gave 27 carrots to Tom,transferState
John handed 48 carrots to Emma,transferState
Keith collected 2 carrots,beforeState
What is the total number of carrots Stephen has now?,questionState
Liam received 39 candies from a friend,beforeState
Jason received 11 erasers from a friend,beforeState
Daniel has 9 apples,beforeState
John handed 28 pens to Jason,transferState
Joan has 43 pens,beforeState
"At present, Sophia owns 50 carrots",afterState
David shared 18 toys with Daniel,transferState
Jason received 11 pencils from a friend,beforeState
Stephen has 17 coins,beforeState
Melanie found 23 carrots,beforeState
Sally handed 42 candies to Sophia,transferState
Melanie donated 45 erasers to Sara,transferState
Sally found 49 tickets,beforeState
Liam bought 48 coins,beforeState
Melanie gave 36 bottles to Sara,transferState
What is the total number of roses Emma has now?,questionState
Stephen found 26 books,beforeState
John donated 11 candies to Sam,transferState
"At present, Jason owns 14 balls",afterState
What is the total number of bottles Sally has now?,questionState
Tom donated 26 pencils to Bob,transferState
Tom had 10 cookies,beforeState
Sam received 46 chocolates from a friend,beforeState
Jason has 24 tickets,beforeState
"Currently, Emma has 7 toys",afterState
Joan collected 27 carrots,beforeState
What is the total number of erasers David has now?,questionState
Mike donated 40 carrots to Jessica,transferState
"After the exchange, how many pencils does Keith have?",questionState
Daniel collected 14 carrots,beforeState
Can you tell how many tickets Jason has now?,questionState
Can you tell how many cookies Mike has now?,questionState
Now Liam has 20 carrots,afterState
Daniel sent 28 marbles to Alice,transferState
"At present, Keith owns 34 toys",afterState
Fred has 2 coins,beforeState
Tom had 43 carrots,beforeState
Mike took 38 bottles from Liam,transferState
What is the total number of marbles Tom has now?,questionState
How many stamps does Jason have?,questionState
"At present, Joan owns 46 balls",afterState
Tom transferred 40 toys to Stephen,transferState
Fred found 29 coins,beforeState
Melanie has 17 cookies,beforeState
John sent 11 chocolates to Stephen,transferState
Can you tell how many coins Daniel has now?,questionState
"After the exchange, how many coins does Bob have?",questionState
Melanie had 39 bottles,beforeState
Liam bought 14 books,beforeState
Sam handed 21 balloons to Keith,transferState
John brought 23 tickets,beforeState
"At present, Sophia owns 41 toys",afterState
Now Jessica has 26 cookies,afterState
Bob gave 11 stamps to Jessica,transferState
Jason received 6 onions from a friend,beforeState
Jessica received 36 carrots from a friend,beforeState
"Currently, Tom has 11 balloons",afterState
How many books does Sally have?,questionState
What is the total number of bottles Bob has now?,questionState
Daniel gave 30 dollars to Liam,transferState
Bob received 36 dollars from a friend,beforeState
John transferred 39 roses to Tom,transferState
Mike gave 16 tickets to Fred,transferState
Liam had 12 toys,beforeState
"At present, Keith owns 33 chocolates",afterState
John bought 47 cookies,beforeState
Keith handed 27 books to Mike,transferState
Sally brought 6 coins,beforeState
Liam took 13 stamps from Keith,transferState
"At present, Sally owns 17 bottles",afterState
Sally brought 9 books,beforeState
Emma had 34 roses,beforeState
"Currently, Sam has 12 cookies",afterState
Sam found 14 pencils,beforeState
"After the exchange, how many pens does Keith have?",questionState
Jessica found 29 dollars,beforeState
"At present, Stephen owns 4 tickets",afterState
"Currently, John has 25 onions",afterState
Daniel found 13 dollars,beforeState
David sent 24 roses to Bob,transferState
Daniel shared 24 marbles with Mike,transferState
"At present, Liam owns 27 candies",afterState
John collected 49 balloons,beforeState
What is the total number of coins Tom has now?,questionState
Joan had 14 chocolates,beforeState
"After taking from Sally, now Alice has 6 tickets",afterState
Joan has 40 cookies,beforeState
Sara gave 22 onions to Tom,transferState
"After the exchange, how many carrots does David have?",questionState
How many tickets does Tom have now?,questionState
How many erasers does Sally have now?,questionState
Bob shared 13 carrots with Stephen,transferState
How many chocolates does Sally have now?,questionState
Stephen took 14 onions from Jason,transferState
Tom shared 3 toys with Liam,transferState
How many dollars does Tom have now?,questionState
"Currently, Liam has 45 candies",afterState
Daniel collected 37 balls,beforeState
John donated 23 apples to David,transferState
Can you tell how many tickets Stephen has now?,questionState
David received 19 balloons from a friend,beforeState
Tom had 10 balls,beforeState
Sara bought 46 toys,beforeState
Sophia had 42 erasers,beforeState
Can you tell how many balloons John has now?,questionState
"At present, Fred owns 46 onions",afterState
Mike brought 15 dollars,beforeState
How many pencils does Joan have?,questionState
Now Sophia has 37 balls,afterState
Stephen bought 30 roses,beforeState
Sally donated 45 tickets to Liam,transferState
Tom transferred 5 roses to Liam,transferState
Sally found 33 chocolates,beforeState
Joan took 38 pencils from Jessica,transferState
Sara shared 30 candies with Sally,transferState
Can you tell how many pens Alice has now?,questionState
Mike had 45 cookies,beforeState
"After the exchange, how many stamps does Sophia have?",questionState
Fred collected 3 coins,beforeState
Bob collected 7 balloons,beforeState
How many pencils does John have now?,questionState
What is the total number of marbles Sam has now?,questionState
Jessica took 23 roses from Sally,transferState
Fred handed 46 erasers to Mike,transferState
"After the exchange, how many cookies does Melanie have?",questionState
Sally had 6 balls,beforeState
How many erasers does Jessica have now?,questionState
What is the total number of books Stephen has now?,questionState
Sally took 6 carrots from Fred,transferState
Alice brought 21 toys,beforeState
Bob had 42 roses,beforeState
Liam collected 30 onions,beforeState
What is the total number of carrots Alice has now?,questionState
"After giving to Keith, now Melanie has 15 carrots",afterState
"Currently, Jessica has 22 marbles",afterState
Fred found 10 pencils,beforeState
"After the exchange, how many stamps does Sophia have?",questionState
Sam handed 39 roses to Tom,transferState
"Currently, Stephen has 30 bottles",afterState
"After taking from Tom, now Jason has 30 chocolates",afterState
Sophia shared 8 bottles with Fred,transferState
Stephen took 41 apples from Sam,transferState
Jessica donated 15 pens to David,transferState
"After the exchange, how many tickets does Sophia have?",questionState
Sophia brought 44 cookies,beforeState
Joan donated 9 bottles to David,transferState
Fred donated 46 candies to Sam,transferState
Bob bought 16 pens,beforeState
Sophia brought 49 tickets,beforeState
Mike gave 24 erasers to Fred,transferState
Sally had 4 toys,beforeState
"At present, Alice owns 35 balloons",afterState
Stephen has 14 balloons,beforeState
David has 47 erasers,beforeState
"Currently, Tom has 18 pens",afterState
John had 46 pens,beforeState
How many cookies does Keith have?,questionState
"After the exchange, how many pencils does Melanie have?",questionState
Joan gave 8 erasers to Sophia,transferState
Sam donated 18 books to Joan,transferState
Jason bought 15 marbles,beforeState
Emma transferred 18 marbles to Keith,transferState
How many toys does Sara have now?,questionState
"At present, Mike owns 37 stamps",afterState
How many stamps does Keith have?,questionState

